,words,count
0,било,49
1,има,49
2,збор,48
3,сите,48
4,неа,47
5,сон,46
6,човек,46
7,себе,46
8,очи,45
9,небо,45
10,може,45
11,ние,45
12,сепак,45
13,знам,44
14,овој,42
15,па,42
16,сам,41
17,мојата,41
18,ништо,41
19,некој,39
20,таму,39
21,еве,39
22,твојот,39
23,тука,38
24,ден,38
25,многу,38
26,време,37
27,мисла,37
28,каде,37
29,гради,36
30,секој,36
31,меѓу,36
32,ова,36
33,пат,35
34,биде,35
35,никој,35
36,сето,34
37,вие,34
38,зашто,34
39,дали,34
40,оваа,34
41,спомен,33
42,еднаш,33
43,крај,33
44,сонце,33
45,раце,32
46,ноќ,32
47,сета,32
48,ако,32
49,кон,32
50,дете,31
51,мака,31
52,гледам,31
53,мој,31
54,сенка,31
55,зар,31
56,едно,31
57,затоа,31
58,малку,31
59,сакам,30
60,час,30
61,вода,30
62,чека,30
63,сосем,30
64,нека,29
65,својата,29
66,зборот,29
67,глас,29
68,можеби,29
69,или,29
70,љубов,28
71,поглед,28
72,ами,28
73,тага,27
74,мајка,27
75,знае,27
76,штом,27
77,нашите,27
78,твојата,27
79,можам,27
80,своите,27
81,земјата,26
82,својот,26
83,иде,26
84,сонцето,25
85,сонот,25
86,сила,25
87,далеку,25
88,носи,24
89,миг,24
90,споменот,24
91,бели,24
92,моја,24
93,езеро,24
94,напред,23
95,снага,23
96,спрема,23
97,место,23
98,бил,23
99,свети,23
100,небото,23
101,години,23
102,ниту,22
103,болка,22
104,смртта,22
105,век,22
106,сети,22
107,сте,22
108,смисла,22
109,овде,21
110,ко,21
111,младост,21
112,душата,21
113,ве,21
114,некаква,21
115,никогаш,20
116,земја,20
117,надеж,20
118,вас,20
119,та,20
120,твоите,20
121,барем,20
122,допир,20
123,нашата,20
124,иако,20
125,која,20
126,крајот,20
127,друг,19
128,ноќта,19
129,сака,19
130,околу,19
131,мрак,19
132,гледа,19
133,полека,19
134,надвор,19
135,оној,19
136,заради,19
137,знаеш,19
138,секоја,19
139,ој,18
140,поле,18
141,две,18
142,денот,18
143,река,18
144,смрт,18
145,моето,18
146,чекор,18
147,два,18
148,секогаш,18
149,ветрот,18
150,друго,18
151,боже,18
152,некогаш,18
153,моите,18
154,одам,17
155,некаде,17
156,шум,17
157,остана,17
158,жал,17
159,светов,17
160,вик,17
161,слуша,17
162,чини,17
163,зад,17
164,народ,17
165,рацете,17
166,луѓе,17
167,каква,17
168,можеш,17
169,при,17
170,макар,17
171,самата,17
172,право,17
173,мина,16
174,други,16
175,ред,16
176,оди,16
