,words,count
0,било,49
1,има,49
2,збор,48
3,сите,48
4,неа,47
5,сон,46
6,човек,46
7,себе,46
8,очи,45
9,небо,45
10,може,45
11,ние,45
12,сепак,45
13,знам,44
14,овој,42
15,па,42
16,сам,41
17,мојата,41
18,ништо,41
19,некој,39
20,таму,39
21,еве,39
22,твојот,39
23,тука,38
24,ден,38
25,многу,38
26,време,37
27,мисла,37
28,каде,37
29,гради,36
30,секој,36
31,меѓу,36
32,ова,36
33,пат,35
34,биде,35
35,никој,35
36,сето,34
37,вие,34
38,зашто,34
39,дали,34
40,оваа,34
41,спомен,33
42,еднаш,33
43,крај,33
44,сонце,33
45,раце,32
46,ноќ,32
47,сета,32
48,ако,32
49,кон,32
50,дете,31
51,мака,31
52,гледам,31
53,мој,31
54,сенка,31
55,зар,31
56,едно,31
57,затоа,31
58,малку,31
59,сакам,30
60,час,30
61,вода,30
62,чека,30
63,сосем,30
64,нека,29
65,својата,29
66,зборот,29
67,глас,29
68,можеби,29
69,или,29
70,љубов,28
71,поглед,28
72,ами,28
73,тага,27
74,мајка,27
75,знае,27
76,штом,27
77,нашите,27
78,твојата,27
79,можам,27
80,своите,27
81,земјата,26
82,својот,26
83,иде,26
84,сонцето,25
85,сонот,25
86,сила,25
87,далеку,25
88,носи,24
89,миг,24
90,споменот,24
91,бели,24
92,моја,24
93,езеро,24
94,напред,23
95,снага,23
96,спрема,23
97,место,23
98,бил,23
99,свети,23
100,небото,23
101,години,23
102,ниту,22
103,болка,22
104,смртта,22
105,век,22
106,сети,22
107,сте,22
108,смисла,22
109,овде,21
110,ко,21
111,младост,21
112,душата,21
113,ве,21
114,некаква,21
115,никогаш,20
116,земја,20
117,надеж,20
118,вас,20
119,та,20
120,твоите,20
121,барем,20
122,допир,20
123,нашата,20
124,иако,20
125,која,20
126,крајот,20
127,друг,19
128,ноќта,19
129,сака,19
130,околу,19
131,мрак,19
132,гледа,19
133,полека,19
134,надвор,19
135,оној,19
136,заради,19
137,знаеш,19
138,секоја,19
139,ој,18
140,поле,18
141,две,18
142,денот,18
143,река,18
144,смрт,18
145,моето,18
146,чекор,18
147,два,18
148,секогаш,18
149,ветрот,18
150,друго,18
151,боже,18
152,некогаш,18
153,моите,18
154,одам,17
155,некаде,17
156,шум,17
157,остана,17
158,жал,17
159,светов,17
160,вик,17
161,слуша,17
162,чини,17
163,зад,17
164,народ,17
165,рацете,17
166,луѓе,17
167,каква,17
168,можеш,17
169,при,17
170,макар,17
171,самата,17
172,право,17
173,мина,16
174,други,16
175,ред,16
176,оди,16
177,денеска,16
178,страв,16
179,камен,16
180,вечер,16
181,мисли,16
182,двете,16
183,долу,16
184,ах,16
185,повеќе,16
186,зборови,16
187,негде,16
188,чудно,15
189,станува,15
190,цел,15
191,види,15
192,радост,15
193,крева,15
194,бев,15
195,татко,15
196,тешко,15
197,роден,15
198,ви,15
199,таква,15
200,преку,15
201,биди,15
202,назад,15
203,ли,15
204,мракот,15
205,самиот,15
206,нашиот,15
207,видам,14
208,чело,14
209,збогум,14
210,зори,14
211,мостот,14
212,сокол,14
213,патот,14
214,убавина,14
215,езерото,14
216,таков,14
217,веднаш,14
218,кои,14
219,свеста,14
220,она,14
221,жени,14
222,срцето,13
223,песната,13
224,ноќе,13
225,бидам,13
226,нова,13
227,гроб,13
228,долго,13
229,ужас,13
230,мине,13
231,падна,13
232,лика,13
233,сетам,13
234,реков,13
235,смеа,13
236,здив,13
237,усни,13
238,жив,13
239,кажи,13
240,утре,13
241,доста,13
242,дојде,13
243,твоето,13
244,студена,13
245,своја,13
246,темницата,13
247,друга,13
248,убаво,13
249,тело,13
250,најпосле,13
251,тетин,13
252,темен,12
253,село,12
254,дните,12
255,трага,12
256,три,12
257,година,12
258,град,12
259,јасна,12
260,после,12
261,значи,12
262,мрачен,12
263,гласи,12
264,нивната,12
265,браќа,12
266,птица,12
267,утро,12
268,тече,12
269,поарно,12
270,тишина,12
271,младоста,12
272,умот,12
273,рече,12
274,даде,12
275,оние,12
276,љубовта,12
277,себеси,12
278,полноќ,11
279,мртов,11
280,гори,11
281,син,11
282,млад,11
283,светот,11
284,повик,11
285,стане,11
286,ете,11
287,првпат,11
288,мое,11
289,мајко,11
290,стара,11
291,црна,11
292,прв,11
293,земи,11
294,пее,11
295,шепот,11
296,јасно,11
297,темно,11
298,водје,11
299,срцево,11
300,жена,11
301,мислата,11
302,тагата,11
303,утеха,11
304,жива,11
305,роди,11
306,води,11
307,заtворницаtа,11
308,друgачкаtа,11
309,гласот,11
310,порив,11
311,погледот,11
312,добро,11
313,судбина,11
314,можат,11
315,заправо,11
316,порака,11
317,потоа,11
318,крепи,11
319,целиот,11
320,понекогаш,11
